material_id,stress_table_id,temperature_C,stress_MPa,source,notes
ss_316l_annealed,316L_annealed,40,115,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,65,115,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,100,115,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,125,115,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,150,115,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,200,109,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,250,103,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,300,98.0,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,325,95.7,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,350,94.1,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,375,92.8,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,400,90.9,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,425,89.0,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,450,87.8,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_316l_annealed,316L_annealed,475,86.6,ASME BPVC II-D 2021 Table 1A Line 34 (SA-240 316L Plate),
ss_304l_annealed,304L_annealed,40,115,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,65,115,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,100,115,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,125,115,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,150,115,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,200,109,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,250,103,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,300,98.0,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,325,95.7,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,350,94.1,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,375,92.8,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,400,90.9,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
ss_304l_annealed,304L_annealed,425,89.0,ASME BPVC II-D 2021 Table 1A Line 30 (SA-240 304L Plate),
cs_1018_hr,1018_HR,40,88.9,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,65,88.9,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,100,88.9,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,125,88.9,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,150,88.9,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,200,88.4,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,250,85.0,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,300,80.7,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,325,78.4,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,350,75.8,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,375,73.5,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,400,71.5,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1018_hr,1018_HR,425,64.0,ASME BPVC II-D 2021 Table 1A Line 3 (SA-36 / SA-283 Grade C carbon steel),
cs_1040_hr,1040_HR,40,98.6,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,65,98.6,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,100,98.6,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,125,98.6,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,150,98.6,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,200,98.1,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,250,94.7,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,300,89.8,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,325,87.3,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,350,84.9,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,375,81.2,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,400,73.4,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1040_hr,1040_HR,425,64.7,ASME BPVC II-D 2021 Table 1A Line 22 (SA-105 / SA-516 Grade 70 carbon steel),
cs_1050_qt425,1050_QT425,40,272,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,65,272,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,100,272,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,125,272,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,150,272,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,200,265,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,250,255,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,300,240,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,325,225,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
cs_1050_qt425,1050_QT425,350,210,Derived from Shigley A-21 Q&T properties; ASME allowable not directly tabulated,
